Employee_ID,Full Name,Department,Age,Salary,Join_Date,Join_Year
1001,Rahul Singh,Sales,,88144,21-04-2023,2023
1002,Isha Patel,HR,25,67445,13-03-2021,2021
1003,Vikram Mehta,Marketing,52,45385,01-05-2020,2020
1004,Neha Mehta,Marketing,42,111556,28-05-2020,2020
1005,Isha Deshmukh,Sales,24,74785,06-12-2023,2023
1006,Ananya Deshmukh,Marketing,35,93817,18-05-2020,2020
1007,Isha Singh,IT,53,111556,06-08-2021,2021
1008,Kunal Kulkarni,Sales,25,,25-07-2019,2019
1009,Vikram Pawar,Operations,52,45385,19-02-2023,2023
1010,Ananya Patel,Marketing,49,105493,10-11-2024,2024
1011,Ananya Deshmukh,IT,58,45385,30-08-2020,2020
1012,Vikram Pawar,Sales,31,105686,19-02-2019,2019
1013,Sneha Shah,Marketing,52,86370,11-02-2024,2024
1014,Aarav Pawar,Marketing,59,59364,20-03-2024,2024
1015,Ananya Patel,Operations,,112887,13-02-2026,2026
1016,Rahul Singh,Sales,34,45279,13-09-2025,2025
1017,Sneha Mehta,Sales,41,46974,15-11-2024,2024
1018,Ananya Mehta,IT,56,93384,15-10-2025,2025
1019,Rohan Shah,HR,,99793,06-05-2024,2024
1020,Neha Pawar,Sales,37,45385,15-11-2024,2024
1021,Priya Shah,Sales,59,43240,01-06-2022,2022
1022,Rohan Gupta,Marketing,34,107844,11-06-2024,2024
1023,Aarav Mehta,HR,43,,05-02-2024,2024
1024,Vikram Patel,HR,47,114445,05-04-2022,2022
1025,Rohan Patel,Marketing,43,71264,24-07-2020,2020
1026,Kunal Deshmukh,Sales,40,100706,18-12-2020,2020
1027,Sneha Singh,IT,23,114185,14-06-2018,2018
1028,Aarav Pawar,Finance,50,59364,14-03-2020,2020
1029,Ananya Shah,IT,41,112384,15-04-2019,2019
1030,Rohan Shah,IT,22,51152,06-05-2019,2019
1031,Priya Patel,HR,34,80101,02-12-2020,2020
1032,Neha Singh,Sales,46,109334,10-06-2020,2020
1033,Priya Gupta,Sales,51,80181,22-09-2025,2025
1034,Rahul Sharma,Sales,23,53176,13-02-2024,2024
1035,Isha Sharma,Marketing,35,57963,26-06-2021,2021
1036,Rohan Gupta,Marketing,36,70812,09-06-2019,2019
1037,Priya Sharma,IT,24,69150,19-01-2024,2024
1038,Rohan Pawar,Marketing,48,53378,22-10-2023,2023
1039,Sneha Sharma,Operations,36,69201,29-08-2020,2020
1040,Kunal Patel,Operations,54,,03-02-2018,2018
1041,Rohan Deshmukh,Operations,59,92975,28-12-2022,2022
1042,Rahul Singh,HR,46,57292,24-12-2023,2023
1043,Rahul Sharma,IT,45,105081,14-08-2024,2024
1044,Isha Patel,Finance,48,,03-01-2024,2024
1045,Aarav Singh,HR,43,97973,24-09-2020,2020
1046,Isha Joshi,Finance,26,43941,10-09-2022,2022
1047,Sneha Shah,Marketing,25,62958,31-05-2018,2018
1048,Neha Pawar,Finance,34,113457,13-03-2018,2018
1049,Aarav Pawar,Operations,51,111100,19-03-2022,2022
1050,Rahul Pawar,Finance,57,116224,28-09-2025,2025
